Quantiles,Method,AverageLoss,lower_CI,upper_CI
0.005,QRF,0.1245677,,
0.025,QRF,0.5345637,,
0.05,QRF,0.9652256,,
0.5,QRF,5.6090705,,
0.95,QRF,2.7574271,,
0.975,QRF,2.0951949,,
0.995,QRF,1.0994223,,
0.005,LQR,2.1744253,1.181992,3.291325
0.025,LQR,2.4317616,1.435215,3.537295
0.05,LQR,2.7534319,1.751482,3.765822
0.5,LQR,6.940052,5.785424,7.921336
0.95,LQR,6.7590152,5.665879,7.852293
0.975,LQR,6.3902749,5.210905,7.569644
0.995,LQR,6.0952826,4.846926,7.343639
0.005,QQR,3.0593083,0.2077561,1.707546
0.025,QQR,3.2459325,0.5098322,1.958511
0.05,QQR,3.4792128,0.8876326,2.340246
0.5,QQR,7.2587389,4.8591427,7.19235
0.95,QQR,7.2800484,2.5211633,3.831527
0.975,QQR,6.9090937,1.800434,3.862158
0.995,QQR,5.3264799,1.3537639,3.700713
