Quantiles,Method,AverageLoss,lower_CI,upper_CI
0.005,QRF,0.05174396,,
0.025,QRF,0.19744145,,
0.05,QRF,0.34747311,,
0.5,QRF,1.51688555,,
0.95,QRF,0.48456848,,
0.975,QRF,0.2806902,,
0.995,QRF,0.0859259,,
0.005,LQR,0.1316241,0.11030343,0.1560415
0.025,LQR,0.2553956,0.22873883,0.2820523
0.05,LQR,0.4070223,0.38394784,0.4275712
0.5,LQR,1.8359616,1.65468787,2.0666496
0.95,LQR,0.5421289,0.42600118,0.6640589
0.975,LQR,0.3054346,0.23432899,0.3849129
0.995,LQR,0.144895,0.06756545,0.2220037
0.005,QQR,0.15923292,0.10736339,0.211341
0.025,QQR,0.27874785,0.22870367,0.3294231
0.05,QQR,0.38008266,0.33034526,0.4599256
0.5,QQR,1.61114403,1.41489795,1.8267736
0.95,QQR,0.40045155,0.35102552,0.4652568
0.975,QQR,0.29981257,0.22062181,0.3666453
0.995,QQR,0.14489503,0.06756545,0.2186188
