Quantiles,Method,AverageLoss,lower_CI,upper_CI
0.005,QRF,0.0233418,,
0.025,QRF,0.0888056,,
0.05,QRF,0.16471625,,
0.5,QRF,0.76912876,,
0.95,QRF,0.31492988,,
0.975,QRF,0.18955702,,
0.995,QRF,0.05761132,,
0.005,LQR,0.03499864,0.02178039,0.05127914
0.025,LQR,0.09351037,0.07820792,0.11253375
0.05,LQR,0.16878623,0.15292998,0.18844594
0.5,LQR,0.78741223,0.73941152,0.83509934
0.95,LQR,0.33436619,0.27798655,0.40176355
0.975,LQR,0.22755362,0.17471991,0.29315351
0.995,LQR,0.09333569,0.04776609,0.16089154
0.005,QQR,0.03499864,0.02178039,0.05127914
0.025,QQR,0.09541342,0.08222001,0.10996402
0.05,QQR,0.15869715,0.14991868,0.17378363
0.5,QQR,0.77879914,0.73141009,0.82320331
0.95,QQR,0.30341079,0.25154778,0.35561893
0.975,QQR,0.21720018,0.15813606,0.30167077
0.995,QQR,0.05307246,0.03476177,0.07605443
