Quantiles,Method,AverageLoss,lower_CI,upper_CI
0.005,QRF,0.02250109,,
0.025,QRF,0.08944422,,
0.05,QRF,0.15997185,,
0.5,QRF,0.80644274,,
0.95,QRF,0.33227517,,
0.975,QRF,0.20097942,,
0.995,QRF,0.06921332,,
0.005,LQR,0.04068687,0.02760023,0.05689545
0.025,LQR,0.10158211,0.08881295,0.11823196
0.05,LQR,0.17371317,0.15430195,0.1959618
0.5,LQR,0.80415547,0.75895221,0.85901883
0.95,LQR,0.32931572,0.29133637,0.38065551
0.975,LQR,0.21985922,0.17157952,0.28253775
0.995,LQR,0.11509627,0.04998686,0.20163821
0.005,QQR,0.04420612,0.03064687,0.05702744
0.025,QQR,0.1013433,0.09057529,0.1128247
0.05,QQR,0.16450226,0.14812001,0.18447858
0.5,QQR,0.77379025,0.7340153,0.82915964
0.95,QQR,0.35702951,0.28343174,0.40553998
0.975,QQR,0.22315375,0.16627649,0.30011807
0.995,QQR,0.15227193,0.08275208,0.22345214
