Quantiles,Method,AverageLoss,lower_CI,upper_CI
0.005,QRF,0.05466009,,
0.025,QRF,0.20023966,,
0.05,QRF,0.34170214,,
0.5,QRF,1.10393135,,
0.95,QRF,0.3874086,,
0.975,QRF,0.24783743,,
0.995,QRF,0.07570419,,
0.005,LQR,0.08737456,0.06441261,0.1292953
0.025,LQR,0.19699828,0.16358747,0.2405693
0.05,LQR,0.34682223,0.30218905,0.4062858
0.5,LQR,1.59369434,1.40806037,1.7433954
0.95,LQR,0.74639529,0.62683675,0.8831223
0.975,LQR,0.49050168,0.42121944,0.5595215
0.995,LQR,0.17900755,0.11508643,0.249044
0.005,QQR,0.11655146,0.08077151,0.1571245
0.025,QQR,0.20899771,0.15664871,0.2701371
0.05,QQR,0.32233252,0.25826736,0.388346
0.5,QQR,1.19301164,1.03393804,1.3248689
0.95,QQR,0.46526083,0.40523709,0.5252846
0.975,QQR,0.50438724,0.36599129,0.7195557
0.995,QQR,0.21766992,0.15065489,0.2907097
