Quantiles,Method,AverageLoss,lower_CI,upper_CI
0.005,QRF,0.0001360754,,
0.025,QRF,0.0003176368,,
0.05,QRF,0.0005191973,,
0.5,QRF,0.0022641755,,
0.95,QRF,0.0006415282,,
0.975,QRF,0.0004260545,,
0.995,QRF,0.000138344,,
0.005,LQR,0.0004876428,0.0002677219138,0.000679794395
0.025,LQR,0.0006823708,0.0004715872806,0.0008635575142
0.05,LQR,0.0008584001,0.0006125002817,0.001054302973
0.5,LQR,0.0026106164,0.002070112596,0.00307542284
0.95,LQR,0.0006196422,0.0004382750674,0.0008010092614
0.975,LQR,0.0004417379,0.000236318542,0.000647157285
0.995,LQR,0.0002994145,7.48E-05,0.0005240757038
0.005,QQR,0.0014270374,0.0003280367719,0.003042086566
0.025,QQR,0.0015637633,0.0004774036104,0.003149449081
0.05,QQR,0.0017346706,0.0007021788541,0.003290272238
0.5,QQR,0.002721261,0.002122996225,0.003288473708
0.95,QQR,0.0008741411,0.0004164906388,0.00145261615
0.975,QQR,0.0004421249,0.0002562266578,0.0006288943153
0.995,QQR,0.000301,9.41E-05,0.0005002021595
