Quantiles,Method,AverageLoss,lower_CI,upper_CI
0.005,QRF,0.0001415774,,
0.025,QRF,0.0003431551,,
0.05,QRF,0.0005297434,,
0.5,QRF,0.0022607192,,
0.95,QRF,0.0006582407,,
0.975,QRF,0.0004334128,,
0.995,QRF,0.0001402554,,
0.005,LQR,0.0004630744,0.0001218308715,0.0008638219407
0.025,LQR,0.0005778661,0.0002471847883,0.000962888666
0.05,LQR,0.0007213558,0.0004064846275,0.001086687298
0.5,LQR,0.0032416984,0.002820973474,0.003677798353
0.95,LQR,0.0014163902,0.0006681749035,0.002170768629
0.975,LQR,0.0012763575,0.0004867046791,0.002172541903
0.995,LQR,0.0011643314,0.0003415284996,0.001997483712
0.005,QQR,0.0004630744,0.000118664,0.0008354686
0.025,QQR,0.0005778661,0.0002471848,0.0009634914
0.05,QQR,0.0007213558,0.0004064846,0.0010840799
0.5,QQR,0.0025717818,0.002163781,0.0029410268
0.95,QQR,0.0016364832,0.001206069,0.0020884349
0.975,QQR,0.0015041898,0.0010205087,0.0019586239
0.995,QQR,0.0013983551,0.0009242268,0.0018993919
