Quantiles,Method,AverageLoss,lower_CI,upper_CI
0.005,QRF,0.04863174,,
0.025,QRF,0.19841729,,
0.05,QRF,0.34936742,,
0.5,QRF,1.57786116,,
0.95,QRF,0.498596,,
0.975,QRF,0.31380652,,
0.995,QRF,0.09322886,,
0.005,LQR,0.2863721,0.2107611,0.3384934
0.025,LQR,0.4004914,0.3379119,0.4489659
0.05,LQR,0.5373383,0.4890272,0.5816847
0.5,LQR,2.0005608,1.8067972,2.2052845
0.95,LQR,0.7225388,0.5123181,0.9175912
0.975,LQR,0.5689665,0.3652529,0.7964367
0.995,LQR,0.4461891,0.2354321,0.6650701
0.005,QQR,0.42591711,0.2537036,0.7013451
0.025,QQR,0.53140284,0.3598822,0.7840216
0.05,QQR,0.55341674,0.4551014,0.6651019
0.5,QQR,1.71292075,1.509379,1.9302727
0.95,QQR,0.63969251,0.4244633,0.9175266
0.975,QQR,0.54081534,0.2926576,0.8165585
0.995,QQR,0.44453217,0.1916629,0.7346893
