"","X","low_h1","high_h1","median_h1","low_h2","high_h2","median_h2","low_h4","high_h4","median_h4","actual"
"1","2000Q1",2.1,2.7,2.5,2.15,2.5,2.32,2.1,2.6,2.25,4.01726351324796
"2","2000Q2",2.2,2.8,2.45,2.2,2.73,2.5,2,2.6,2.2,3.17238882205273
"3","2000Q3",2.15,3,2.5,2.2,2.8,2.4,2.25,2.7,2.5,3.70594944473246
"4","2000Q4",2.45,2.95,2.75,2.35,3,2.6,2.1,2.85,2.6,2.88219861573238
"5","2001Q1",2.4,3.2,2.8,2.6,3,2.8,2.1,2.8,2.5,3.88161879770592
"6","2001Q2",2.4,2.7,2.5,2.5,2.9,2.7,2.5,3,2.63,2.83418173634955
"7","2001Q3",2,2.8,2.5,2.1,2.8,2.5,2.3,3,2.6,1.13388286996094
"8","2001Q4",2.1,2.8,2.5,2,2.8,2.5,2.3,2.9,2.6,-0.299831232321801
"9","2002Q1",1.7,2.4,1.9,2.2,2.8,2.6,2.1,2.95,2.55,1.28319935857497
"10","2002Q2",1.7,2.25,2,1.8,2.4,2.1,2.1,2.8,2.5,3.18217247251271
"11","2002Q3",2,2.5,2.2,1.9,2.4,2.1,2.3,2.9,2.7,2.17185065983572
"12","2002Q4",1.9,2.4,2.1,2,2.5,2.2,2.2,2.7,2.45,2.38580492636213
"13","2003Q1",2,2.45,2.2,1.9,2.8,2.25,2.2,2.6,2.4,4.177842542581
"14","2003Q2",2,2.3,2.1,1.9,2.55,2.15,2.2,2.7,2.5,-0.65282207302082
"15","2003Q3",1.35,2.2,1.82,1.6,2.2,2,2,2.7,2.4,3.01961827291395
"16","2003Q4",1,2.3,1.4,1.8,2.35,2.06,2,2.45,2.2,1.52682899175887
"17","2004Q1",1.3,2.3,2.1,1.2,2.45,1.95,2,2.5,2.2,3.428232207384
"18","2004Q2",1.2,2,1.5,1.5,2.2,2,2,2.5,2.3,3.17959102200582
"19","2004Q3",1.7,2.59,2.2,1.1,1.9,1.5,1.75,2.5,2.05,2.57543564341409
"20","2004Q4",1.8,3.1,2.3,1.6,2.7,2,1.7,2.5,2.2,4.36461846150464
"21","2005Q1",2,2.68,2.3,1.9,2.9,2.3,1.4,2.3,1.8,2.03562889951616
"22","2005Q2",2.01,2.65,2.2,1.95,2.64,2.2,1.86,2.41,2.2,2.73069596187088
"23","2005Q3",1.95,2.6,2.3,1.9,2.54,2.2,2,2.6,2.3,6.19748806297009
"24","2005Q4",2.15,2.9,2.45,2.24,2.71,2.4,2.07,2.76,2.31,3.78250893579977
"25","2006Q1",1.8,3,2.43,2.2,2.8,2.4,2.03,2.6,2.3,2.09944735466487
"26","2006Q2",2,2.99,2.5,2,2.7,2.34,2.3,2.7,2.4,3.65877989769949
"27","2006Q3",2.3,3,2.55,2.1,2.8,2.5,2.16,2.72,2.4,3.82989202430077
"28","2006Q4",2.3,3.47,2.77,2.2,2.8,2.44,2.03,2.8,2.4,-1.63075156735141
"29","2007Q1",2.4,3.13,2.8,2.4,3.1,2.7,1.98,2.6,2.3,3.97969843240302
"30","2007Q2",2.39,2.9,2.6,2.4,3.08,2.65,2,2.57,2.25,4.60775871886401
"31","2007Q3",2.06,2.8,2.5,2.28,2.9,2.53,2.2,2.8,2.49,2.55619379438961
"32","2007Q4",1.4,2.5,1.96,1.77,2.7,2.31,2,2.7,2.5,4.99765319550427
"33","2008Q1",2.4,3.5,2.9,1.93,2.7,2.31,2.13,2.58,2.3,4.40366113726425
"34","2008Q2",1.68,3.03,2.42,2.01,2.8,2.42,2.2,2.8,2.5,5.30617827511908
"35","2008Q3",2.6,3.8,3.2,1.8,2.93,2.5,2,2.7,2.3,6.31157203634967
"36","2008Q4",2,3.3,2.89,1.86,3,2.46,1.88,2.7,2.2,-8.8507832551002
"37","2009Q1",0,1.9,0.8,2.12,3.4,2.6,2.02,2.96,2.4,-2.72321812965923
"38","2009Q2",0.49,1.8,0.82,1.3,2.3,1.8,2,2.8,2.4,2.14399045753033
"39","2009Q3",1.1,2.4,1.6,1.1,2.2,1.66,2,3,2.3,3.48624526542545
"40","2009Q4",1,2.3,1.6,1.07,2,1.48,1.86,2.8,2.23,3.1687048369111
"41","2010Q1",1,2.1,1.51,1.4,2,1.71,1.5,2.5,1.95,0.635522724596727
"42","2010Q2",0.6,2,1.4,1,2,1.45,1.5,2.34,2,-0.141064551190218
"43","2010Q3",1.45,2.5,1.8,1.4,2.2,1.8,1.4,2.8,2,1.17775323556939
"44","2010Q4",1.2,2,1.6,1.5,2.16,1.8,1.59,2.21,1.8,3.27851127575487
"45","2011Q1",1.2,2.1,1.6,1.2,1.93,1.75,1.79,2.43,2.05,4.33775826955753
"46","2011Q2",0.54,1.87,1.3,0.95,1.9,1.29,1.6,2.26,2,4.62608705369398
"47","2011Q3",1.51,2.7,2.2,1.14,2.1,1.8,1.4,2.24,1.93,2.63400721102582
"48","2011Q4",1.44,2.5,2,1.37,2.51,2,1.2,2.28,1.8,1.80761786345305
"49","2012Q1",1.66,2.63,2,1.66,2.6,2,1.4,2.6,2,2.27184875687882
"50","2012Q2",1.6,2.5,2,1.25,2.8,1.9,1.58,2.5,2.07,0.847084281582333
"51","2012Q3",1.87,2.4,2.26,1.87,2.6,2.1,1.65,2.6,2,1.81814728525684
"52","2012Q4",1.7,2.3,2,1.8,2.4,2.1,1.6,2.6,1.98,2.68639808330091
"53","2013Q1",1.7,2.44,2.1,1.73,2.5,2.1,1.87,2.59,2.1,1.61753925055534
"54","2013Q2",1.8,2.3,2.1,1.68,2.5,2.21,1.58,2.47,2.17,-0.437164861261208
"55","2013Q3",1.8,2.3,2,1.9,2.4,2.1,1.92,2.45,2.23,2.18098754343876
"56","2013Q4",1.4,2.1,1.7,1.8,2.3,2,1.97,2.52,2.26,1.48735013028565
"57","2014Q1",1.5,2.1,1.8,1.5,2.2,1.75,1.9,2.4,2.1,2.5144559336683
"58","2014Q2",1.42,1.99,1.66,1.64,2.1,2,1.82,2.4,2.17,2.14124064742158
"59","2014Q3",1.7,2.11,1.92,1.7,2.3,1.93,1.78,2.34,2.1,1.02726996848799
"60","2014Q4",1.8,2.3,2.04,1.68,2.1,1.9,1.8,2.5,2.14,-0.990077682485779
"61","2015Q1",1.27,2.14,1.8,1.94,2.31,2.1,1.67,2.26,2,-2.56403936369084
"62","2015Q2",1.2,1.96,1.62,1.7,2.39,1.9,1.8,2.3,2,2.7558244857887
"63","2015Q3",1.6,2.5,1.95,1.6,2.38,1.9,1.83,2.45,2.1,1.51938456149083
"64","2015Q4",1.04,2.15,1.8,1.6,2.23,1.9,1.65,2.2,2,-0.0302671070045668
"65","2016Q1",1.5,2.1,1.8,1.4,2.25,2,1.7,2.4,2.1,-0.248174121605182
